No.	Text	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD	Category
2525	人生沒法假設，我沒法假設如果我吐的嚴重心情會怎樣，我只知道如何在自己現有的狀況下，儘可能保持樂觀態度，這是我希望在這裡分享的。	6.571	3.714	0.495	1.03	news
1045	「好萊塢報導」指出，今天公佈的倫敦影評人協會獎，臺灣導演李安擊敗同樣入圍奧斯卡金像獎最佳導演的奧地利導演麥可漢內克，贏得年度最佳導演獎。	6.714	6.167	0.7	0.687	news
138	想到故宮的烏鴉都有了歡喜的感覺.	6.250	4.333	0.968	0.943	book
1781	政黨就是理念的結合，華人世界既然只剩下這兩個政黨還相信理智及科學，與我理念相符，那麼我只好支持他們了。	6.125	4.333	0.599	0.943	political
2695	107年度綜合所得稅申報31日最後1天，據統計，利用電子申報的民眾已超過6成，到稅務單位元現場利用人工申報的民眾明顯減少，作業過程也順暢許多。	6.375	4.000	0.484	0.577	news
1652	他說，然而馬英九當年提出「六三三」，也勝選贏得總統，代表人民對他所拋出經濟成長的政策有很高的期待，所以如今纔有這麼大的失望。	2.889	5.778	0.737	0.916	political
191	索居，就是渴望內心的精神自由。	5.667	4.778	0.816	0.786	book
2751	泰國國王瓦吉拉隆功本月4日舉行加冕大典，66歲的他在加冕之前迎娶了第4任妻子蘇提妲，整個泰國沉浸在隆重的喜慶當中。	6.429	5.286	0.495	1.278	news
1407	他說，他們害怕失去獨立性，不想住進專門機構，覺得「沒有值得活下去的理由」；儘管他和父母曾力勸，但最終還是接受弟弟求死的心願。	3.286	4.875	0.452	1.364	news
2105	有媒體報道稱，5月11日，廣西柳州一中學在家長會上推出華為學生定製手機，該款手機可過濾不良資訊，並對使用時間進行管理。	6.167	3.286	0.687	1.278	news
767	攜程定的酒店房間價格比較貴，我到北京後朋友說他定的價格比我便宜100元，而且還含早餐。	4.875	3.556	1.536	1.165	hotel
1339	刮刮樂，問店家要如何對獎？洪月娥一對，興奮地告訴他「刮中頭獎三百萬元！	7.333	7.875	1.414	1.269	news
2965	不甩貿易戰，中國製造2025迫在眉梢，百年德國企業西門子看到中國正進行一場工廠智慧化的速度與規模之戰，要用AI和雲端搶先在中國轉型大戰中卡位搶先機。	5.111	3.111	0.737	1.912	news
1119	有人則說臺灣失去了一股正義力量，請各位網友默哀三分鐘。	2.875	5.857	0.599	0.639	news
2548	華為遭到Google切斷服務，未來新手機不能使用Google的相關應用程式App，包括Gmail、YouTube等都無法使用，重挫該公司在全球的佈局。	2.286	5.667	0.7	0.943	news
1315	臺北暗殺星在賽前並未被寄以厚望，但是卻連續擊敗世界排名第三的南韓NaJinSword、排名第二的俄羅斯Moscow5，以及排名第一的AzubuFrost，獲得冠軍絕無僥倖。	6.125	5.714	1.166	1.161	news
2132	惠普筆記本近年來得到了長足的發展，在增強設計審美、改善效能輸出、優化電池續航之外，還大膽使用皮革、木質來滿足消費者的不同需求。	6.222	3.333	0.916	1.414	news
1223	很多時候，男方在發生性關係前，或發生時會信誓旦旦說：「我會負責的」，「妳放心，我會照顧妳」。	3.625	6.000	0.484	0.756	news
1484	結果12局上老虎隊掌握契機，先是Cabrera遭保送上壘，接下來Young再打出超前的二壘安打攻下1分，AndyDirks也打出直擊投手的強襲球，DavidPhelps空手想接球卻無法順利完成出局數，讓老虎隊再下一城。	5.333	4.833	0.816	0.687	news
1344	在偶像劇《我可能不會愛你》爆紅的法鬥犬「包子」，最近在網路上又受到網友熱烈討論，但內容卻是對飼主的批評謾罵。	3.375	4.667	0.484	0.667	news
335	看了太多的爭論了但ToyotaAltis的銷量真的很可觀，我對它沒有偏見，可惜的是太多人開了，幾乎滿街都是...如果可以稀有點，也是台不錯的靚車...題外話，買賣就是願打願挨，所以安全性、油耗有的沒有的考量都在個人，我想是沒什麼好爭的，真的要爭取的是薪水吧?	4.111	5.375	1.37	0.484	car
1410	易吉益公司楊輝雄以「海浪發電裝置」及「可降解性包裝材之製作方法」獲最佳能源發明與最佳發明兩獎項，是最大贏家。	7.556	6.143	0.956	1.125	news
1011	優秀的外觀，輕薄的分量，完美的性能。	6.375	5.375	0.696	1.409	laptop
1292	誰是世界上最強的召喚師？臺灣的臺北暗殺星（ＴＰＡ）隊，將於臺灣時間十四日早上十點與韓國隊Azubufrost在電玩英雄聯盟第二季世界錦標賽一決雌雄，誰拿下總冠軍，就有百萬美元（約三千萬元臺幣）入袋。	6.571	5.429	0.495	1.05	news
597	瀑布寒……從來沒見過這麼方便的，要是小偷，哈哈，肯定笑死了。	6.222	5.667	0.916	1.333	hotel
971	這個筆記本性能好的，適合女生用，而且是粉色！	7.000	6.286	0.0	0.7	laptop
1473	總統強調，臺灣有最勤奮的人民，人民有最善良的心，相信只要大家互相扶持、互相鼓勵、互相包容，沒有衝不破的難關。	6.375	4.625	0.696	0.992	news
312	只要能讓我安全回到家，抱抱小王子，與女王說說情話！	5.857	4.778	0.639	1.227	car
2100	自本月的IPO以來，Uber的股價大幅下跌，從上上週四每股45美元的IPO發行價跌至上週二的38美元。	3.000	5.375	0.707	0.857	news
1920	金韓鬆還提到他的室友是利比亞人，「在利比亞爆發革命期間回到家鄉，發現那裏完全變成了另一個利比亞。	3.900	4.778	0.831	0.786	political
443	首先謝謝大家的回覆，讓我多了一項的知識起初我也想回toyota廠更換，不過報價真的太貴了。	5.125	5.750	0.781	0.661	car
2481	Facebook今天上午宣佈了一項新計劃，專注於利用其資料和技術幫助從事公共衛生工作的非營利組織和大學更好地繪製全球傳染病的傳播圖。	6.333	3.889	0.471	1.595	news
400	建議是~又不是沒有其他更好的選擇....只能祝福各位購入的車主以上，沒有別的不好的意思，單存個人意見一個看不慣這樣欺負台灣消費著的人	4.000	4.429	1.612	1.178	car
1328	甫獲2012紐倫堡國際發明展銀牌獎殊榮的明道大學材料系吳信達助理教授，又拿下準世界發明家獎「化學發明獎章」。	6.375	4.857	0.857	1.807	news
1099	高市青山行善團張團長透過裡長訪視，發現個案急需援助，網路號召網友幫忙，邀集紫霄帝闕玄天上帝廟合力捐款，發放白米、罐頭等物資。	6.250	4.625	0.829	0.696	news
1180	畢業典禮那天，我故意扣住他的畢業證書，他媽媽來找我，懇談了很久，兩個人談到抱頭痛哭，卻對孩子的拒絕學習一籌莫展。	3.444	6.714	0.831	0.7	news
1242	手銬不斷敲打，試圖用強大的撞擊力讓手銬鬆脫，就這樣東敲西打一通，手銬總算順利解開，侯姓男子開心的直向警方道謝，直說以後再也不敢亂玩手銬了。	5.000	5.167	0.0	0.687	news
2052	雖然微信的功能開放比較剋制，不過微信支付的協力廠商服務卻動不動搞個小動作，目前協力廠商服務已經多達12個，比騰訊自家的9個服務還要多。	5.000	4.250	0.756	1.561	news
1170	在遊戲中殺氣十足，但被外國媒體問到要如何使用獎金時，Bebe卻害羞地說不出話，最後還是MiSTakE把他「想買電視」的心願說出來；身型魁梧的Lilballz說，回到臺灣第一件事就是要好好享受臺灣美食。	5.857	4.857	0.639	0.833	news
2057	在螢光幕前綻放光芒、在女權運動裡暢所欲言，但在現實生活中，這位Dior香水的靈感繆思其實出身自一個不完美家庭。	4.714	3.667	0.7	1.826	news
2950	在比利時北部安特衛普市的特斯拉Supercharger超級充電站，一輛特斯拉ModelS著火併完全燒燬。	2.875	5.875	0.781	0.927	news
1175	反觀臺灣遊戲界，網友也紛紛替得獎選手打抱不平。	3.889	5.286	0.737	0.7	news
2861	我們可以在自己的業務中看到Google廣告的效果有多好，而我們只是坐在那裡吮著大拇指，所以我們感到羞愧。	3.556	5.500	0.831	1.225	news
1442	詹惟中分析周傑倫蛇年戀愛運旺，但孕事將不如心願，可能要到馬年才能播種成功；昆淩則是愛情、事業運皆不錯，若抓住周媽的心，將遠離感情危機。	5.444	4.625	0.497	1.317	news
572	感謝您的點評，並期待您的再次光臨！	6.375	4.778	0.484	1.03	hotel
789	"我是第三次入住了，但是給這家賓館留言還是第一次，這次入住我的一位朋友喝醉了，走到大廳我朋友就""現場直播""了~~~~~呵呵"	5.222	4.750	0.916	1.09	hotel
2650	日前一名阮姓老翁慌慌張張地走進萬華分局漢中街派出所，稱其中午前往郵局刷存摺後，便忘記與老婆約定會合的地點，希望警方給予協助。	4.100	4.333	0.831	1.333	news
1359	少女和死神拔河，一個禮拜後還是不幸死亡，她的媽媽心痛哽咽，眼眶滿是淚水，傷心的吳媽媽崩潰了，拿出女兒照片，原本漂亮可愛的女兒，再也回不來了。	1.800	7.667	0.872	1.155	news
683	聽朋友說那裏的小姐比較宰客，談好的價錢只是臺費，最後還會另收天價小費，不給的話，會有雞頭進來跟你談，挺恐怖的，最好不要嘗試。	2.556	4.750	1.257	1.392	hotel
933	然而這一過程往往容易產生龐大安全性漏洞，讓外界攻擊變得更加容易。	3.500	3.833	0.5	0.687	laptop
1717	「今天在這裏，必須要感謝20年前與我結婚的女子。	6.857	7.429	0.639	1.4	political
7	兩代人之間的鴻溝在優美的文字中慢慢地彌合，讓我回味、思考了很多。	6.400	4.571	0.49	1.05	book
1802	條款提案人、民主黨參議員韋伯表示，條款強化美日同盟的重要性，是美國支持亞太地區重要盟國強有力的表態。	5.250	4.429	0.433	1.4	political
2281	畢竟是自己選擇的路，走得不順、走得顛簸，也就是自己的責任，再也無法任性地說──做這些事情又不是我樂意的。	4.500	5.571	1.893	2.06	news
1003	昨天京東總部自提的，額滴神啊，很滿意。	6.125	4.833	0.781	1.344	laptop
2114	湖南衛視當家主持人汪涵、新聲代小花李莎旻子共同主持一場陣容豪華的直播界狂歡夜，將人們的視線和思緒又拉回到曾經繁華無限卻又落入沉寂的直播行業。	5.000	4.333	0.632	1.106	news
2393	這款簽字筆的筆桿材質為金屬，書寫粗細為0.5mm，筆芯顏色為黑色，使用方面，亮黑麗雅烤漆，光滑明亮，磨砂質感，觸感柔和。	6.500	3.400	1.025	2.059	news
1046	李安在奧斯卡獎頒獎前一壯聲色。	5.444	4.286	0.497	0.881	news
518	真的，主、被動再強，還是駕駛人的觀念最重要，不然也不會有名人的高級車或超跑...等的撞車新聞了，雖然都沒大礙，但開T牌的，撞車就一定會死人，是嗎?	3.700	6.000	0.9	0.707	car
72	正如Miki所說的“有些書，不必有那麼重大的意義”。	5.111	4.000	0.567	1.069	book
2638	澳洲DJAdamNeat4日和朋友在印尼峇裡島度假，未料卻傳出失血過多身亡的意外，公司也在5號在臉書上證實了這項訊息，讓粉絲相當痛心。	3.000	5.111	0.775	0.994	news
2112	5月27日，由映客直播主辦的映客527星光夜年度盛典在北京鑽石球場隆重舉行，當晚不僅有數百位映客人氣主播盛裝亮相，還有當紅明星實力助陣。	6.333	4.750	0.471	1.09	news
475	我猜應該60-95km/h以下我開小v快二年了當初是因為想省點油錢...小v在100km/h大概2800-2900轉左右110km/h大概3000轉起步大約3000轉就會換檔拉回了市區一般行駛時大概都在2000轉上下建議不要跑太快耗油加上不安全....尤其下雨天高速公路有積水的話超刺激100km/h過小水波區會瞬間空轉降速到快90km/h說另外個人平均油耗冬天不開冷氣)13.5-14左右夏天開冷氣12.5-13左右結論是台外型還不錯的省油小車優點)隔音差到爆是我覺得最討厭的缺點)	3.444	4.857	0.956	0.639	car
1404	佛貝森兄弟安樂死案獨特之處在於，兩人都非末期病患，身體也未受痛苦。	4.444	3.857	0.831	1.355	news
1014	散熱我相當滿意，也很安靜。	6.750	6.143	0.661	0.639	laptop
2285	初步調查顯示，女童沒有接種今季季節性流感疫苗，潛伏期內沒有外遊，她的弟弟最近出現發燒，已經求醫，無須入院，情況穩定。	5.556	3.125	1.066	0.927	news
2818	SuviKo甜甜的浪漫心意~京東秋迪食品專營店目前售價58元，領取29元優惠券，使用優惠券，券後實付僅需29元包郵。	5.714	4.833	0.7	1.462	news
639	房間寬敞舒服，硬體設施不錯。	6.444	4.111	0.497	0.875	hotel
631	趕緊走人換到了陽光酒店.	4.000	4.750	0.894	1.09	hotel
