Text	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
來自白宮新聞發布會	5.333	2.0	0.471	1.414
崇拜的其實是權力	3.8	6.25	1.47	0.829
連看偏都算不智之舉	3.5	5.0	0.5	0.0
大家都是顧慮這些還有覺得還能在他身上多少學到一些觀點所以才不放膽嗆他吧	3.667	5.333	0.471	1.247
不用在意旁人眼光	6.0	3.75	1.414	1.299
臺男從此不知去向	4.0	5.5	0.707	1.658
其實是個熱心腸的同學的	7.0	4.667	0.707	0.471
自認為沒做到100分	4.0	4.4	0.707	2.417
同時持著刀筆次向被害人的心臟	3.0	3.75	0.0	1.299
最多隻能享有動物權	5.75	4.75	0.433	0.829
還遭到無數人的疑心	3.0	4.6	0.0	1.356
人生最大的哀痛	1.6	7.4	0.49	1.356
但還是有意外了	3.5	4.5	0.5	0.5
的比分結束了屠宰場	4.667	4.0	0.471	0.816
馬來西亞國民陣線前政府的土地交換計劃出現嚴重疏漏	3.0	4.25	0.894	1.299
我為何不先存檔是智障嗎	3.0	7.5	0.0	1.118
世界一流的水準	7.75	5.667	1.299	0.943
昨晚下了那樣的暴雨	4.333	5.0	0.471	0.816
一方強勢另一方關懷	5.4	3.2	0.49	1.833
總給我講她們學校的陰暗面	4.0	4.667	0.0	0.471
他是不是大腦萎縮	3.667	5.333	0.943	0.471
反而在空中小姐歡呼簇擁下登機	8.0	7.0	0.0	0.0
就是必須皇上位置穩固	5.0	5.5	0.0	1.658
故事因為劇透而讓人沒興趣再往下讀	3.0	5.0	0.0	0.816
盡吹毛求疵之能	4.0	5.0	0.0	0.0
涉及社會全方位的弊病	3.5	3.75	0.866	0.433
世界瑜珈大賽七強	6.667	5.667	1.247	1.247
新奇的故事來包裝	6.0	2.0	0.0	0.0
他們激動又欣慰	7.0	7.0	0.0	0.0
而是純粹為了用自己的理論來諷刺	3.0	5.75	0.0	1.639
這一次聖終於要開拓新地圖前往王城之外的地方了	7.0	5.4	0.0	1.855
也社交障礙不敢主動詢問	3.0	4.6	0.0	1.744
那就讓川普的魯莽和衝動給那些人長個記性	4.0	4.667	0.816	2.625
幸虧美國之音把你開除了	5.0	4.0	0.0	3.0
已經於早上修復完成	6.333	4.0	0.471	0.816
突然有點百感交集	4.0	5.8	0.707	1.47
身為老師的嚴肅	5.667	5.333	0.471	0.471
活該被壓在地上摩擦	3.0	5.6	0.0	2.154
海軍節過度維穩曝光	5.5	4.0	0.5	1.0
蔡英文的穩健臺獨才是智中之智	6.25	5.6	0.433	1.855
但是沒過多久又變回一開始看到的顏色	4.5	4.5	0.5	0.5
美國有軍人被共產黨俘虜	4.0	6.0	0.0	0.816
臺灣實在太不設防	3.4	6.0	0.49	1.225
而中共利用這國恥巧妙的將民眾怨氣調離八九六四十週年	4.0	3.75	0.0	0.829
應該是暴風撿到	4.333	5.667	0.471	0.471
必須是全面的系統的改革和改進	6.667	4.333	0.471	2.055
將自然風景區作為人驕傲的一部分同理	6.5	5.5	0.5	1.5
這顆破掉的水餃和這顆漂亮的水餃你要吃哪一顆	5.0	4.0	0.0	0.0
母親節最大的幸福	7.0	5.75	0.0	0.829
